title,reference,term_id,date,id,created_at,updated_at
Rail passengers’ rights and obligations ***II,A9-0045/2021,1,2021-04-26,133,2021-08-13 09:51:12,2021-08-13 09:51:12
European Defence Fund ***II,A9-0120/2021,1,2021-04-26,134,2021-08-13 09:51:16,2021-08-13 09:51:16
Administrative cooperation in the field of excise duties: content of electronic registers *,A9-0121/2021,1,2021-04-26,135,2021-08-13 09:51:20,2021-08-13 09:51:20
COVID-19 pandemic in Latin America,B9-0238/2021,1,2021-04-26,136,2021-08-13 09:51:23,2021-08-13 09:51:23
Bolivia and the arrest of former President Jeanine Añez and other officials,B9-0244/2021,1,2021-04-26,137,2021-08-13 09:51:24,2021-08-13 09:51:24
"Blasphemy laws in Pakistan, in particular the case of Shagufta Kausar and Shafqat Emmanuel",B9-0253/2021,1,2021-04-26,138,2021-08-13 09:51:26,2021-08-13 09:51:26
Parliament’s estimates of revenue and expenditure for the financial year 2022,A9-0145/2021,1,2021-04-26,139,2021-08-13 09:51:27,2021-08-13 09:51:27
"Russia, the case of Alexei Navalny, military build-up on Ukraine’s border and Russian attack in the Czech Republic",B9-0235/2021,1,2021-04-26,140,2021-08-13 09:51:28,2021-08-13 09:51:28
Fifth anniversary of the Peace Agreement in Colombia,B9-0227/2021,1,2021-04-26,141,2021-08-13 09:51:29,2021-08-13 09:51:29
European Child Guarantee,B9-0220/2021,1,2021-04-26,142,2021-08-13 09:51:30,2021-08-13 09:51:30
The accessibility and affordability of COVID-testing,B9-0233/2021,1,2021-04-26,143,2021-08-13 09:51:31,2021-08-13 09:51:31
EU-India relations,A9-0124/2021,1,2021-04-26,144,2021-08-13 09:51:32,2021-08-13 09:51:32
2019 discharge: EU general budget – Commission and executive agencies,A9-0117/2021,1,2021-04-26,145,2021-08-13 09:51:33,2021-08-13 09:51:33
2019 discharge: EU general budget – European Parliament,A9-0044/2021,1,2021-04-26,146,2021-08-13 09:51:35,2021-08-13 09:51:35
2019 discharge: EU general budget – Council and European Council,A9-0056/2021,1,2021-04-26,147,2021-08-13 09:51:37,2021-08-13 09:51:37
2019 discharge: EU general budget – Court of Justice of the European Union,A9-0064/2021,1,2021-04-26,148,2021-08-13 09:51:37,2021-08-13 09:51:37
2019 discharge: EU general budget – Court of Auditors,A9-0059/2021,1,2021-04-26,149,2021-08-13 09:51:38,2021-08-13 09:51:38
2019 discharge: EU general budget – European Economic and Social Committee,A9-0057/2021,1,2021-04-26,150,2021-08-13 09:51:39,2021-08-13 09:51:39
2019 discharge: EU general budget – Committee of the Regions,A9-0055/2021,1,2021-04-26,151,2021-08-13 09:51:40,2021-08-13 09:51:40
2019 discharge: EU general budget – European Ombudsman,A9-0065/2021,1,2021-04-26,152,2021-08-13 09:51:41,2021-08-13 09:51:41
2019 discharge: EU general budget – European Data Protection Supervisor,A9-0067/2021,1,2021-04-26,153,2021-08-13 09:51:42,2021-08-13 09:51:42
2019 discharge: EU general budget – European External Action Service,A9-0063/2021,1,2021-04-26,154,2021-08-13 09:51:43,2021-08-13 09:51:43
2019 discharge: European Centre for the Development of Vocational Training,A9-0069/2021,1,2021-04-26,155,2021-08-13 09:51:44,2021-08-13 09:51:44
2019 discharge: European Foundation for the Improvement of Living and Working Conditions,A9-0094/2021,1,2021-04-26,156,2021-08-13 09:51:45,2021-08-13 09:51:45
2019 discharge: European Union Agency for Fundamental Rights,A9-0086/2021,1,2021-04-26,157,2021-08-13 09:51:46,2021-08-13 09:51:46
2019 discharge: European Monitoring Centre for Drugs and Drug Addiction,A9-0087/2021,1,2021-04-26,158,2021-08-13 09:51:47,2021-08-13 09:51:47
2019 discharge: European Environment Agency,A9-0080/2021,1,2021-04-26,159,2021-08-13 09:51:48,2021-08-13 09:51:48
2019 discharge: European Agency for Safety and Health at Work,A9-0090/2021,1,2021-04-26,160,2021-08-13 09:51:49,2021-08-13 09:51:49
2019 discharge: Translation Centre for the Bodies of the European Union,A9-0084/2021,1,2021-04-26,161,2021-08-13 09:51:50,2021-08-13 09:51:50
2019 discharge: European Medicines Agency,A9-0073/2021,1,2021-04-26,162,2021-08-13 09:51:51,2021-08-13 09:51:51
2019 discharge: European Union Agency for Criminal Justice Cooperation (Eurojust),A9-0101/2021,1,2021-04-26,163,2021-08-13 09:51:52,2021-08-13 09:51:52
2019 discharge: European Training Foundation,A9-0089/2021,1,2021-04-26,164,2021-08-13 09:51:53,2021-08-13 09:51:53
2019 discharge: European Maritime Safety Agency,A9-0099/2021,1,2021-04-26,165,2021-08-13 09:51:54,2021-08-13 09:51:54
2019 discharge: European Aviation Safety Agency,A9-0070/2021,1,2021-04-26,166,2021-08-13 09:51:55,2021-08-13 09:51:55
2019 discharge: European Food Safety Authority,A9-0097/2021,1,2021-04-26,167,2021-08-13 09:51:56,2021-08-13 09:51:56
2019 discharge: European Centre for Disease Prevention and Control,A9-0104/2021,1,2021-04-26,168,2021-08-13 09:51:57,2021-08-13 09:51:57
2019 discharge: European Union Agency for Cybersecurity (ENISA),A9-0085/2021,1,2021-04-26,169,2021-08-13 09:51:58,2021-08-13 09:51:58
2019 discharge: European Union Agency for Railways,A9-0077/2021,1,2021-04-26,170,2021-08-13 09:51:59,2021-08-13 09:51:59
